Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Singapore, World,Import,  All Products,AHS Weighted Average (%),3.26032842040675,,,,,,0.327477955626773,0.0486813852245594,0.0486335994986992,0.0461620220159724,0.046875305852449,0.0376198033112607,0.0396166872590767,0.039131599048247,0.0186093253490292,0,0.026397214386522,0.0149958046726062,0.00910169252285357,0.0469042554686481,0.0550550354328548,0.0481761657538385,0.160697824050274,0.0567058490915002,0.0721026058877335,0.0708085298381195,0.0740960351629107,0.0695146009182121,0.0740391931320007,0.236943969681334,0.387776860142419,0.0499530159482776,0.000235863732956237,0.0000873061150195331
Singapore,Afghanistan,Import,  All Products,AHS Weighted Average (%),0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Singapore,Albania,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Algeria,Import,  All Products,AHS Weighted Average (%),13.5610717097225,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,American Samoa,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Andorra,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Angola,Import,  All Products,AHS Weighted Average (%),,,,,,,0,,,0,,0,0,0,0,0,0,0,0,3.46338467594983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Anguila,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Singapore,Antarctica,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
Singapore,Antigua and Barbuda,Import,  All Products,AHS Weighted Average (%),,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Argentina,Import,  All Products,AHS Weighted Average (%),4.17611125230619,,,,,,0,0,0,0,0.0018982434876939,0,0,0,0.000213829645265512,0,0,0.0000350443022701472,0.0551218054609629,0,0,0.00134338901884317,0.00157485039594493,0,0.00104045410395152,0.00102188287684046,0.000109200674117504,0.00177923427723807,0.0267535941130259,0.0862464053946658,0,0.0000180835187213844,0.0000158930708249462,0
Singapore,Armenia,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,0,0,0,,,,,,,,,4.84420390728146,0.152683897753831,0,0,0,0,0,0,0,0,0,0
Singapore,Aruba,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Australia,Import,  All Products,AHS Weighted Average (%),1.74942270134145,,,,,,0.45522308285063,0.0652475853690352,0.0656837878425006,0.066868676719338,0.068798047043319,0.0358647535767472,0.0254312104100394,0.0284059719027082,0.0432988165848035,0,0,0.0311377198552873,0,0,0,0,0.326320191688878,0,0,0,0,0,0,0,0,0,0,0
Singapore,Austria,Import,  All Products,AHS Weighted Average (%),0.0848204015531361,,,,,,0.0173072897412277,0.00434255499284885,0.00448549668505972,0.0770617708035088,0.0429326807704306,0.0629104126852826,0.00207774890756357,0.00309683371462988,0.0011516846194406,0,0.00314434827992985,0.00414944701261986,0.00257743714801542,0.0143296464959258,0.00271224589401465,0.0034610170075091,0.00316127937063423,0.00302860347893435,0.0393089557793651,0.0385883911546831,0.0254034205014587,0.067559794063999,0.0232572944452712,0.068589382513669,0.143124925021033,0.0488848808980014,0,0
Singapore,Azerbaijan,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,"Bahamas, The",Import,  All Products,AHS Weighted Average (%),2.7530210005588,,,,,,0,0,0,0,0,0,0.633397549610108,0.000722748635606528,0.0181972113223392,0,0.00663323884556641,0.0267501866732715,0.000998958924505096,0.000323422378568452,0.00014248075574135,0.000733328313106942,0,0.000010904370794524,0.192331475398021,0.186703128491313,2.35061932343166,0,0,0,0,0,0,0
Singapore,Bahrain,Import,  All Products,AHS Weighted Average (%),12.7381202832229,,,,,,0.020956041921151,0.00209977636725707,0.00209906800398623,0.00186483688417944,0.00177593541001436,0.00152137719724505,0.00120220246509576,0.00163502910158865,0.000493401019811829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Bangladesh,Import,  All Products,AHS Weighted Average (%),8.47265549880487,,,,,,0,0,0,0,0,0.0606234666777145,0,0,0,0,0,0,0.0198993328150385,0.00562282108901597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Barbados,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0171338138010012,0.0144902710674211,0
Singapore,Belarus,Import,  All Products,AHS Weighted Average (%),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000785952882080036,0,0,0,0.0131063559643838,0,0,0.00122112292226011,0.0603305857529379,0,0,0.00175065652050987,0.157050162876405,0.155055144103265,0.0162586858466932
