Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
118747,20,2,830,0.391304347826087,1965,2.168942,40.0,-0.7661829,23.0,2.9351249
118863,20,20,830,0.391304347826087,1965,1.837183,40.0,-0.7661829,23.0,2.6033659
118979,20,40,830,0.934782608695652,1965,-2.299041,40.0,-0.7661829,23.0,1.5328581
119095,20,41,830,0.666666666666667,1965,0.7352529,29.0,-0.7661829,23.0,1.5014358
119211,20,42,830,0.673913043478261,1965,0.8541048,38.0,-0.7661829,23.0,1.6202877
119327,20,51,830,0.847826086956522,1965,0.1131122,40.0,-0.7661829,23.0,0.8792951
119443,20,52,830,0.833333333333333,1965,0.2602848,33.0,-0.7661829,23.0,1.0264677
119559,20,70,830,0.630434782608696,1965,0.7871705,40.0,-0.7661829,23.0,1.5533534
119675,20,90,830,0.565217391304348,1965,1.188764,40.0,-0.7661829,23.0,1.9549469
119791,20,91,830,0.470588235294118,1965,1.175542,32.0,-0.7661829,23.0,1.9417249
119907,20,92,830,0.608695652173913,1965,1.049992,39.0,-0.7661829,23.0,1.8161749
120023,20,93,830,0.5,1965,1.144618,25.0,-0.7661829,23.0,1.9108009
120139,20,94,830,0.608695652173913,1965,1.011135,40.0,-0.7661829,23.0,1.7773179
120255,20,95,830,0.631578947368421,1965,0.9151348,36.0,-0.7661829,23.0,1.6813177
120371,20,100,830,0.590909090909091,1965,0.9763996,39.0,-0.7661829,23.0,1.7425825
120487,20,101,830,0.608695652173913,1965,0.8459378,40.0,-0.7661829,23.0,1.6121207
120603,20,130,830,0.576923076923077,1965,0.7753305,20.0,-0.7661829,23.0,1.5415134
120719,20,135,830,0.608695652173913,1965,1.03943,40.0,-0.7661829,23.0,1.8056129
120835,20,140,830,0.565217391304348,1965,1.098328,40.0,-0.7661829,23.0,1.8645109
120951,20,145,830,0.472222222222222,1965,1.306263,34.0,-0.7661829,23.0,2.0724459
121067,20,150,830,0.526315789473684,1965,1.235674,35.0,-0.7661829,23.0,2.0018569
