Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,United States,1991,,50,?,AGM-65 Maverick,air-to-surface missile,50,?,1992,New,AGM-65D version,0.15,7.5,7.5
Singapore,Sweden,1997,?,30,?,Type-43,anti-submarine torpedo,30,?,2000; 2001,New,Type-431 version for Sjöormen (Challenger) submarines,0.3,9,9
Singapore,United States,2005,,12,,F-15E Strike Eagle,FGA aircraft,12,,2009; 2010,New,$1 b 'NFRP' or 'Peace Carvin 5' programme; F-15SG version,70,840,840
Singapore,France,2001,?,300,?,ASTER-15 SAAM,SAM,300,,2006; 2007; 2008; 2009; 2012; 2013,New,Part of $1.6 b 'Project Delta'; for La Fayette (Formidable) frigates,0.3,90,90
Singapore,United States,1992,,9,,F-16A,FGA aircraft,9,,1993,Second hand,Second-hand; $330 m 3-year lease; for training in USA only; incl 2 F-16B version,8.26,74.34,74.34
Singapore,United States,2010,,24,?,F-124,turbofan,24,,2012; 2013; 2014,New,For 12 M-346 trainer/combat aircraft from Italy,1,24,24
Singapore,United States,2015,,917,,JDAM,guided bomb,917,,2016; 2017,New,,0.02,18.34,18.34
Singapore,Germany,2007,,158,?,Leopard-2A4,tank,158,,2007; 2008; 2009; 2010; 2011; 2012,Second hand but modernized,Second-hand but modernized before delivery (possibly incl some for spare parts only),2.64,417.12,417.12
Singapore,United States,1997,,4,,KC-135 Stratotanker,tanker/transport aircraft,4,,1999; 2000,Second hand but modernized,Second-hand; $280-500 m 'Peace Guardian' deal; modernized to KC-135R before delivery,39.6,158.4,158.4
Singapore,United States,2008,,1,,Gulfstream-5,light transport aircraft,1,,2012,New,G-550 version; for civilian company for 20 year training of Singaporean air force pilots,28,28,28
Singapore,France,2013,,2,?,SAMP/T,ABM/SAM system,2,,2017; 2018,New,EUR651 m deal,55,110,110
Singapore,Germany,2023,,4,,OPV-80,patrol ship,0,,,New,Delivery planned from 2028,36,144,0
Singapore,Germany,2013,,16,,ship engine,ship engine,16,,2017; 2018; 2019,New,MTU 20V4000 (5770hp) diesel engine for 8 LMV (Independence) corvettes produced in Singapore,1.5,24,24
Singapore,Switzerland,2006,,19,,PC-21,trainer aircraft,19,,2008,New,Ordered via USA; based in Australia,5,95,95
Singapore,Netherlands,2013,,8,,NS-100,air/sea search radar,8,,2017; 2018; 2019,New,EUR52 m deal; for 8 LMV (Independence) corvettes produced in Singapore,8,64,64
Singapore,Germany,2010,?,10,?,PSB-2,armoured bridgelayer,10,?,2012; 2013,Second hand but modernized,Probably second-hand but modernized before delivery or second-hand Leopard-2 tanks modified to ABL,0.83,8.25,8.25
Singapore,United Kingdom,1967,,4,,Ayer,landing craft,4,,1968; 1969,New,Produced under licence in Singapore,2.9,11.6,11.6
Singapore,Sweden,1999,?,3,?,ARTHUR,artillery locating radar,3,,2003,New,,4,12,12
Singapore,United States,2017,,250,?,GBU-39 SDB,guided glide bomb,250,,2020,New,,0.02,5,5
Singapore,United States,2014,,20,,AIM-9X Sidewinder,long-range air-to-air missile,20,,2015; 2016,New,AIM-9X Block-2 version,0.18,3.6,3.6
Singapore,Sweden,1995,,1,,Sjöormen,submarine,1,,1997,Second hand but modernized,Second-hand; 'Riken' programme; modernized before delivery; based in Sweden until 2004 for training; Singaporean designation Challenger,72.6,72.6,72.6
Singapore,Sweden,1997,,3,,Sjöormen,submarine,3,,2000; 2001,Second hand but modernized,Second-hand; 'Riken-2' programme; modernized before delivery; incl 1 based in Sweden for training until 2004; Singaporean designation Challenger; 1 more delivered for spare parts only,72.6,217.8,217.8
Singapore,Sweden,2005,,2,,Västergotland,submarine,2,,2011; 2012,Second hand but modernized,Second-hand but modernized (incl with AIP engines) before delivery; SEK1 b ($128 m) 'Northern Light' deal; Singaporean designation Archer,99,198,198
Singapore,Switzerland,2012,?,13,?,PiPz-3 Kodiak,armoured engineer vehicle,13,?,2014; 2015,New,Second-hand Leopard-2 tank chassis rebuilt in Switzerland and Germany to L2-AEV (Kodiak) AEV,2.5,32.5,32.5
Singapore,United States,2005,,6,,SH-60B Seahawk,anti-submarine helicopter,6,,2009; 2010,New,SH-70(N) version,17,102,102
Singapore,Jordan,1994,,7,,F-5E Tiger-2,FGA aircraft,7,,1994,Second hand,Second-hand; $21 m deal,4.2,29.4,29.4
Singapore,Jordan,1976,?,2,,C-130B Hercules,transport aircraft,2,,1977,Second hand,Second-hand,9.2,18.4,18.4
Singapore,Israel,2005,?,5,?,Hermes-450,UAV,5,,2006; 2007,New,,2,10,10
Singapore,France,2005,,5,?,EC-120 Colibri,light helicopter,5,,2006,New,Part of SGD120 m (EUR60 m) deal (owned by and leased for 20 years from Singaporean company); for training,0.7,3.5,3.5
