Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,United States,2000,?,20,?,AIM-7M Sparrow,long-range air-to-air missile,20,,2001,New,,0.18,3.6,3.6
Singapore,Israel,2017,,5,?,Condor-2,aircraft EO system,5,,2018; 2019,New,$82 m deal,1,5,5
Singapore,France,1996,?,671,?,MILAN,anti-tank missile,671,,1997; 2000; 2001,New,,0.01,6.71,6.71
Singapore,United States,1999,,2,,CH-47D Chinook,transport helicopter,2,,2001,New,CH-47SD version,18,36,36
Singapore,Italy,1986,?,100,?,A244,anti-submarine torpedo,100,,1990; 1991,New,For Type-62 (Victory) corvettes; A-244/S version,0.25,25,25
Singapore,United States,2000,?,20,,F-16C Block-50/52,FGA aircraft,20,,2004; 2005,New,'Peace Carvin-4' deal; F-16D Block-52+ version,31,620,620
Singapore,United States,2000,,2,,S-70 Black Hawk,transport helicopter,2,,2002,New,,7.25,14.5,14.5
Singapore,Italy,1992,,40,?,Grifo,combat aircraft radar,40,,1998,New,Grifo-F version; for modernization of 40 F-5E combat aircraft to F-5S/T,1,40,40
Singapore,United States,2001,,100,,AIM-120C AMRAAM,long-range air-to-air missile,100,,2002; 2003,New,$85-100 m deal; for F-16 and possibly F-5S combat aircraft; stored in USA until 2003 when delivered to Singapore after China and Viet Nam introduced similar AA-12 missiles in 2002/2003,0.6,60,60
Singapore,Israel,1970,?,12,,M-58 160mm,mortar,12,?,1971; 1972,New,,0.4,4.8,4.8
Singapore,Israel,1970,?,50,?,M-65 120mm,mortar,50,?,1971; 1972,New,,0.25,12.5,12.5
Singapore,Sweden,1997,?,80,?,Type-613,anti-ship torpedo,80,?,2000; 2001,New,For Sjöormen (Challenger) submarines,1.25,100,100
Singapore,Israel,1993,?,40,?,Searcher,UAV,40,?,1994; 1995,New,Searcher-2 version,0.3,12,12
Singapore,France,1997,?,2,,Master,air search radar,2,?,1999; 2000,New,Master-A version,13.5,27,27
Singapore,United States,1994,?,2,,S-211,trainer/combat aircraft,2,?,1995,New,Ex-Haitian aicraft (but never used) sold to US company and sold to Singapore,2,4,4
Singapore,United Kingdom,1975,?,3,?,Cymbeline,artillery locating radar,3,?,1976,New,,2.38,7.14,7.14
Singapore,Israel,1988,?,60,?,Scout,UAV,60,?,1989; 1990; 1991,New,,0.1,6,6
Singapore,United States,1997,,12,,F-16C Block-50/52,FGA aircraft,12,?,1999; 2000,New,$350 m 'Peace Carvin-3' deal; F-16CJ Block-52 version; incl 2 F-16DJ,31,372,372
Singapore,United States,1998,,6,,CH-47D Chinook,transport helicopter,6,,2000,New,CH-47SD version,18,108,108
Singapore,United States,2001,?,192,?,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,192,,2005,New,For AH-64D helicopters,0.05,9.6,9.6
Singapore,United States,1999,,8,,AH-64D Apache Longbow,combat helicopter,8,,2002,New,Part of $629 m 'Peace Vanguard' deal (incl $26 m for Longbow radars); stationed in USA until 2006,15.5,124,124
Singapore,Sweden,1998,,2,?,Giraffe AMB,air search radar,2,,1999; 2001,New,,7.5,15,15
Singapore,France,2014,,6,,A-330 MRTT,tanker/transport aircraft,6,,2018; 2019; 2020,New,Delivered via Spain,98,588,588
Singapore,United States,2003,?,57,?,AGM-65 Maverick,air-to-surface missile,57,,2005,New,AGM-65G version,0.15,8.55,8.55
Singapore,United States,2006,,24,?,Tiger Eyes,aircraft EO system,24,,2009; 2010; 2011; 2012,New,For F-15 combat aircraft,3,72,72
Singapore,United States,2006,?,100,?,AIM-120C AMRAAM,long-range air-to-air missile,100,,2009; 2010,New,For F-15SG combat aircraft; AIM-120C-5 version,0.6,60,60
Singapore,United States,2015,,70,?,APG-83 SABR,combat aircraft radar,70,,2021; 2022; 2023,New,For modernization of 62 F-16 combat aircraft (incl spare radars),2.5,175,175
Singapore,France,1986,?,6,,TSM-2064,anti-submarine sonar,6,,1990; 1991,New,For 6 MGB-62 (Victory) corvettes from FRG,5,30,30
Singapore,Israel,2019,,,,Spike-MR/LR,anti-tank missile,750,,2022; 2023; 2024,New,For Hunter IFV,0.03,0,22.5
Singapore,United States,2017,?,124,?,Paveway,guided bomb,124,,2019,New,Incl 40 GBU-10 and 84 GBU-12 versions; for F-15 combat aircraft,0.02,2.48,2.48
Singapore,Australia,2009,,100,,R-600,iinfantry fighting vehicle turret,100,,2010; 2011,New,AUD28 m ($22 m) deal; for Terrex APC/IFV produced in Singapore,0.6,60,60
Singapore,Israel,2008,?,75,?,Derby,long-range air-to-air missile,75,,2011; 2012,New,For SPYDER-SR SAM system,0.4,30,30
Singapore,Australia,2012,,35,?,R-600,iinfantry fighting vehicle turret,35,?,2012; 2013,New,AUD25 m ($27 m) deal; for Terrex APC/IFV produced in Singapore,0.6,21,21
Singapore,Sweden,2009,?,50,?,RBS-70 Mk-3 Bolide,portable SAM,50,?,2011,New,,0.1,5,5
Singapore,France,2012,,3,?,Ground Master-200,air search radar,3,,2012; 2013,New,,10,30,30
Singapore,France,2013,,200,?,ASTER-30,SAM,200,,2017; 2018,New,For SAMP/T SAM system,1,200,200
Singapore,United States,1977,,3,,Bell-212/UH-1N,helicopter,3,?,1977; 1978,New,Part of $20 m deal; for SAR and VIP transport,3.7,11.1,11.1
Singapore,United States,1976,,200,,AIM-9J/P Sidewinder,short-range air-to-air missile,200,?,1979,New,Part of $113 m deal; for F-5E combat aircraft; AIM-9J version,0.09,18,18
Singapore,United States,1977,,17,,Bell-205A-1,helicopter,17,?,1977; 1978,New,Part of $20 m deal,2.62,44.54,44.54
Singapore,United States,1976,,21,,F-5E Tiger-2,FGA aircraft,21,,1979,New,$113 m deal; incl 3 F-5F version,10.5,220.5,220.5
Singapore,Italy,1979,,6,,SF-260,(armed) trainer aircraft,6,,1979,New,SF-260WS armed version,0.24,1.44,1.44
Singapore,Switzerland,1979,?,150,?,AMX-13/75,light tank,150,?,1981,Second hand,Second-hand,0.36,54,54
Singapore,India,1972,,150,,AMX-13/75,light tank,150,?,1973; 1974; 1975,Second hand,Second-hand,0.36,54,54
Singapore,United States,1978,,200,,AIM-9J/P Sidewinder,short-range air-to-air missile,200,?,1979; 1980,New,AIM-9P version; for F-5E combat aircraft,0.09,18,18
Singapore,United States,1980,,6,,F-5E Tiger-2,FGA aircraft,6,,1981,New,$34 m deal,10.5,63,63
Singapore,France,1979,,12,,T-33A Shooting Star,trainer aircraft,12,,1980,Second hand,Second-hand; T-33S version,1,12,12
Singapore,United States,1978,?,4,,C-130H Hercules,transport aircraft,4,,1980,New,,28,112,112
Singapore,United States,1980,,20,,Bell-204B,helicopter,20,,1980,Second hand,Second-hand; 10 more for spares only,0.84,16.8,16.8
Singapore,United Kingdom,1981,,250,?,Rapier-1,SAM,250,,1982; 1983,New,,0.1,25,25
Singapore,United States,1980,,16,?,A-4S Super Skyhawk,FGA aircraft,16,,1980,New,Second-hand A-4C rebuilt A-4S1 version; assembled/produced under licence in Singapore; more delivered for spare parts only,9,144,144
Singapore,Italy,1982,,6,,SF-260,(armed) trainer aircraft,6,,1982,New,SF-260WS armed version,0.24,1.44,1.44
Singapore,France,1982,,7,,AS-350/AS-550 Fennec,light helicopter,7,,1983,New,AS-350E version; for training,0.9,6.3,6.3
Singapore,United States,1983,,4,,E-2C Hawkeye,airborne early-warning aircraft,4,,1987; 1988,New,$437 m deal,73.65,294.6,294.6
Singapore,United States,1980,,100,,MIM-23B HAWK,SAM,100,,1982,New,$9.8 m deal,0.17,17,17
Singapore,United States,1982,?,200,?,AIM-9J/P Sidewinder,short-range air-to-air missile,200,,1983,New,$12 m deal; AIM-9P version,0.09,18,18
Singapore,United States,1980,?,200,?,MIM-23B HAWK,SAM,200,,1983,New,,0.17,34,34
Singapore,United States,1980,,4,?,I-HAWK,SAM system,4,,1982; 1983,New,$72 m deal,35,140,140
Singapore,United Kingdom,1981,,12,,Rapier,SAM system,12,,1982; 1983,New,Part of $60 m deal,7,84,84
Singapore,United Kingdom,1969,?,12,,Hunter,FGA aircraft,12,,1971,Second hand but modernized,Second-hand but modernized to Hunter FGA-74 before delivery,2.64,31.68,31.68
Singapore,France,1968,?,4,,SA-316B Alouette-3,light helicopter,4,,1969,New,Incl for SAR,0.9,3.6,3.6
Singapore,United Kingdom,1965,?,15,?,Ferret,armoured reconnaissance vehicle,15,,1965,Second hand,Probably Second-hand,0.05,0.72,0.72
Singapore,United States,1969,?,30,?,Commando V-100,APC,30,,1969,New,,0.16,4.8,4.8
Singapore,United Kingdom,1969,?,4,,Hunter,FGA aircraft,4,,1971,Second hand but modernized,Second-hand FR-10 reconnaissance version modernized to Hunter FR-74A before delivery,2.64,10.56,10.56
Singapore,United Kingdom,1969,?,4,,Hunter,fighter aircraft,4,,1971,Second hand but modernized,Second-hand Hunter T-7 trainer version modernized to Hunter T-75 before delivery,2.38,9.5,9.5
Singapore,United States,1968,?,8,,Cessna-172,light /trainer aircraft,8,,1969,New,Cessna-172K version,0.1,0.8,0.8
Singapore,United States,1969,?,1,,Cessna-411,light transport aircraft,1,,1970,New,,0.95,0.95,0.95
Singapore,United Kingdom,1971,?,5,,Hunter,fighter aircraft,5,,1972; 1973,Second hand but modernized,Second-hand Hunter T-7 trainer version modernized to Hunter T-75A before delivery,2.38,11.88,11.88
Singapore,United Kingdom,1971,,22,,Hunter,FGA aircraft,22,,1972; 1973,Second hand but modernized,Second-hand but modernized to Hunter F-74B before delivery,2.64,58.08,58.08
Singapore,United Kingdom,1968,,16,,Strikemaster,trainer/combat aircraft,16,,1969; 1970,New,$7.2 m deal; Strikemaster Mk-84 version,2.5,40,40
Singapore,United Kingdom,1972,,6,,Skyvan,light transport aircraft,6,,1973; 1974,New,Incl for 3 SAR and MP,2.5,15,15
Singapore,New Zealand,1972,?,4,,Airtourer,trainer aircraft,4,,1973,New,Option on 2 more not used,0.08,0.32,0.32
Singapore,United Kingdom,1969,,84,?,Bloodhound-2,SAM,84,,1969,New,Second-hand; taken over upon independence,0.45,37.8,37.8
Singapore,Israel,1970,?,90,?,Gabriel-1,anti-ship missile,90,,1972; 1974; 1975; 1976,New,For TNC-45 (Sea Wolf) FAC,0.3,27,27
Singapore,Israel,1976,,38,?,M-68/M-71 155mm,towed gun,38,,1977,New,M-71 version,0.85,32.3,32.3
Singapore,Israel,1971,?,45,?,M-68/M-71 155mm,towed gun,45,,1971; 1972,New,M-68 version,0.85,38.25,38.25
Singapore,United States,1985,,8,,F-16A,FGA aircraft,8,,1988,New,$280 m 'Peace Carvin-1' deal; F-16A Block-15OCU version; incl 4 F-16B,20.65,165.2,165.2
Singapore,United States,1974,?,40,?,Commando V-150,APC,40,,1975; 1976,New,,0.2,8,8
Singapore,United States,1969,,250,?,Commando V-200,APC,250,,1970; 1971,New,Incl 20mm and 90mm gun; ARV and mortar carrier version,0.25,62.5,62.5
Singapore,United Kingdom,1969,,4,?,Bloodhound-2,SAM system,4,,1969,Second hand,Second-hand; taken over upon independence,14,56,56
Singapore,South Yemen,1974,,5,,Jet Provost,(armed) trainer aircraft,5,,1975,Second hand,Second-hand; Jet Provost T-52(A) version,0.48,2.4,2.4
Singapore,South Yemen,1975,,4,,Strikemaster,trainer/combat aircraft,4,,1975,Second hand,Second-hand; Strikemaster Mk-81 version,1,4,4
Singapore,Oman,1977,,5,,Strikemaster,trainer/combat aircraft,5,,1977,Second hand,Second-hand; Strikemaster Mk-82 version,1,5,5
Singapore,United States,1977,?,2,,C-130B Hercules,transport aircraft,2,,1977,Second hand,Second-hand,9.2,18.4,18.4
Singapore,United States,1983,,8,,A-4S Super Skyhawk,FGA aircraft,8,,1984,New,Second-hand; rebuilt with US components to TA-4S1 version in Singapore (8 more delivered for spare parts only9,9,72,72
Singapore,United States,1975,,2,,Adjutant,minesweeper,2,,1975,Second hand,Second-hand; Singaporean designation Jupiter,4,8,8
Singapore,Netherlands,1970,,1,,Endeavour,patrol boat,1,,1970,Second hand,Second-hand,5,5,5
Singapore,United States,1976,?,16,?,M-114 155mm,towed gun,16,,1977,Second hand,Probably Second-hand,0.2,3.2,3.2
Singapore,United States,1972,?,300,?,M-113,APC,300,,1973; 1974,New,M-113A1 version,0.25,75,75
Singapore,United States,1986,?,3,?,AR-320,air search radar,3,,1988; 1989,New,,13,39,39
Singapore,United States,1986,?,150,?,Harpoon Block-1,anti-ship missile,150,,1988; 1989; 1990; 1991; 1992; 1993; 1994,New,For Type-62 (Victory) corvettes and modernized TNC-45 (Sea Wolf) FAC,0.9,135,135
Singapore,United States,1970,,8,?,M-728 CEV,armoured engineer vehicle,8,,1972,Second hand,Second-hand; $2.6 m deal,1,8,8
Singapore,Sweden,1970,?,6,,SAK-70 Mk-1 57mm,naval gun,6,,1972; 1974; 1975; 1976,New,For 6 FPB-45 (Sea Wolf) FAC from FRG,2.25,13.5,13.5
Singapore,United States,1985,,64,?,AIM-9J/P Sidewinder,short-range air-to-air missile,64,,1988,New,AIM-9P version; for F-16 combat aircraft,0.09,5.76,5.76
Singapore,United States,1987,?,1,,C-130H Hercules,transport aircraft,1,,1987,New,,28,28,28
Singapore,United States,1987,,3,,F-5E Tiger-2,FGA aircraft,3,,1987,New,F-5F version,10.5,31.5,31.5
Singapore,United States,1984,?,6,,F-5E Tiger-2,FGA aircraft,6,,1985,New,,10.5,63,63
Singapore,Sweden,1978,,4,,Giraffe-40,air search radar,4,,1982,New,For use with RBS-70 SAM systems,3.25,13,13
Singapore,United States,1986,,5,,F-5E Tiger-2,FGA aircraft,5,,1989,New,,10.5,52.5,52.5
Singapore,United States,1990,?,200,?,BGM-71 TOW,anti-tank missile,200,,1995; 1996,New,BGM-71C ITOW version; for AS-550C2 helicopters,0.01,2,2
Singapore,United States,1989,,3,,TPQ-37 Firefinder,artillery locating radar,3,,1990,New,Part of $31 m deal,8,24,24
Singapore,United States,1989,,24,,A-4B Skyhawk,FGA aircraft,24,,1990,Second hand but modernized,Second-hand but modernized with US components to A-4S1 version in Singapore,4.79,114.84,114.84
Singapore,France,1989,,200,?,MILAN,anti-tank missile,200,,1990; 1991; 1992,New,MILAN-2 version; deal incl also 30 launchers,0.01,2,2
Singapore,United States,1986,?,1,,KC-130H Hercules,tanker/transport aircraft,1,,1988,New,,38,38,38
Singapore,Netherlands,1991,,5,,Fokker-50 Enforcer-2,anti-submarine aircraft,5,,1994; 1995,New,MP equipment fitted in Singapore,25.5,127.5,127.5
Singapore,France,1990,,37,,LG1 105mm,towed gun,37,,1992; 1993,New,,0.6,22.2,22.2
Singapore,United States,1991,,20,,Harpoon Block-1,anti-ship missile,20,,1994; 1995,New,AGM-84 version for Fokker-50 ASW aircraft,0.9,18,18
Singapore,France,1990,,22,,AMX-10P,infantry fighting vehicle,22,,1993; 1994,New,,0.9,19.8,19.8
Singapore,France,1990,,22,,AMX-10PAC-90,infantry fighting vehicle,22,,1993; 1994,New,,1,22,22
Singapore,Sweden,1986,?,6,,Sea Giraffe-150,air search radar,6,,1990; 1991,New,For 6 MGB-62 (Victory) corvettes from FRG; Sea Giraffe-150HC version,5,30,30
Singapore,India,1975,,24,?,Centurion-3,tank,24,,1975,Second hand,Second-hand; Centurion Mk 3/7 or Mk-5 version,0.54,12.96,12.96
Singapore,South Africa,1992,,1,,Round Table,landing ship,1,,1992,Second hand,Second-hand; Singaporean designation Perseverance,20,20,20
Singapore,Israel,1992,?,150,?,Barak-1,SAM,150,,1996; 1997,New,For MGB-62 (Victory) corvettes,0.25,37.5,37.5
Singapore,Switzerland,1991,,12,?,Skyguard,air-search/fire-control radar,12,,1991; 1992,New,For use with 24 GDF-002 35 mm AA guns,5,60,60
Singapore,United States,1994,,50,,AIM-7M Sparrow,long-range air-to-air missile,50,,1997; 1998; 1999,New,Part of 890 m deal; for F-16C combat aircraft,0.18,9,9
Singapore,United States,1994,,18,,F-16C Block-50/52,FGA aircraft,18,,1998,New,$890 m 'Peace Carvin-2' deal; F-16C Block-52 version; incl 10 F-16D,31,558,558
Singapore,United States,1994,,36,,AIM-9M Sidewinder,short-range air-to-air missile,36,,1998,New,Part of $890 m deal; AIM-9S version; for F-16 combat aircraft,0.12,4.32,4.32
Singapore,United States,1994,,6,,CH-47D Chinook,transport helicopter,6,,1996; 1997,New,Incl 3 for SAR; delivered to Singapore 1999 after training in USA since 1997,18,108,108
Singapore,United States,1981,?,3,,F-5E Tiger-2,FGA aircraft,3,,1983,New,$16 m deal; F-5F version,10.5,31.5,31.5
Singapore,Netherlands,1991,,4,,Fokker-50,transport aircraft,4,,1993; 1994,New,Fokker-50 Utility version; possibly incl 1 Black Crow ELINT version,8,32,32
Singapore,United Kingdom,1993,,18,?,CET,armoured engineer vehicle,18,,1994; 1995,New,,0.55,9.9,9.9
Singapore,Israel,2008,?,2,?,SPYDER-SR,SAM system,2,,2011; 2012,New,,16,32,32
Singapore,Italy,1969,?,16,,SF-260,(armed) trainer aircraft,16,,1971,New,SF-260MS version,0.24,3.84,3.84
Singapore,United States,1972,,47,,A-4S Super Skyhawk,FGA aircraft,47,?,1974; 1975; 1976; 1977,New,Second-hand A-4B and TA-4B rebuilt to 40 A-4S and 7 TA-4S versions; incl 36 assembled in Singapore,9,423,423
Singapore,Germany,2012,,45,?,Leopard-2A4,tank,45,,2016; 2017; 2018; 2019,Second hand but modernized,Second-hand but modernized before delivery; possibly rebuilt to Leopard-2A7 standard,2.64,118.8,118.8
Singapore,Italy,2010,,12,,M-346 Master,trainer/combat aircraft,12,,2012; 2013; 2014,New,EUR250 m deal (part of $411 m 'AJT' deal); based in France,8.5,102,102
Singapore,France,2013,?,150,?,MICA,long-range air-to-air missile,150,,2017; 2018; 2019,New,For VL-MICA SAM system on 8 LMV (Independence) corvettes,0.4,60,60
Singapore,France,2013,,8,,VL-MICA-M,naval SAM system,8,,2017; 2018; 2019,New,For 8 LMV (Independence) corvettes produced in Singapore,5,40,40
Singapore,Italy,2013,,8,,Super Rapid 76mm,naval gun,8,,2017; 2018; 2019,New,For 8 LMV (Independence) corvettes produced in Singapore,2.75,22,22
Singapore,Kuwait,1984,,4,,Bell-205A,helicopter,4,,1984,Second hand,Second-hand (modernized in Singapore after delivery); AB-205 version,0.88,3.52,3.52
Singapore,Israel,1968,,40,?,AMX-13/75,light tank,40,,1969,Second hand,Second-hand,0.36,14.4,14.4
Singapore,United States,2014,?,8,,F-15E Strike Eagle,FGA aircraft,8,,2016; 2017,New,F-15SG version,70,560,560
Singapore,United States,2022,?,1042,?,JDAM,guided bomb,0,,,New,Incl GBU-31 and GBU-38 JDAM and GBU-54 LJDAM versions,0.02,20.84,0
Singapore,United States,2022,?,480,?,Paveway,guided bomb,0,,,New,Incl GBU-10 and GBU-12 versions,0.02,9.6,0
Singapore,United States,2008,?,264,?,GMLRS,guided rocket,264,,2010; 2012; 2013,New,For HIMARS MRL,0.08,21.12,21.12
Singapore,United States,1995,?,500,?,vehicle engine,vehicle engine,500,,1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004,New,475-550hp diesel engine (possibly 6V-92TA); for Bionix IFV produced in Singapore,0.08,40,40
Singapore,United Kingdom,1994,,8,,ship engine,ship engine,8,,2000; 2001,New,RK-270 (6000hp) diesel engine; for 4 Endurance AALS produced in Singapore,1.5,12,12
Singapore,Sweden,1991,,4,,Landsort,minehunter,4,,1995,New,Incl 3 assembled from kits in Singapore; Singaporean designation Bedok,45,180,180
Singapore,Germany,2000,?,24,,ship engine,ship engine,24,,2007; 2008; 2009,New,MTU-20V-8000 M-90 (12070hp) diesel engine; for 6 La Fayette (Formidable) frigates from France,4,96,96
Singapore,United States,2014,?,348,,GMLRS,guided rocket,348,,2015; 2016,New,For HIMARS MRL,0.08,27.84,27.84
Singapore,Germany,1993,?,24,,ship engine,ship engine,24,,1996; 1997; 1998,New,MTU-12V-595 (4225hp) diesel engine; for 12 Fearless FAC produced in Singapore,1.5,36,36
Singapore,United States,1988,?,200,?,M-113,APC,200,,1988; 1989,New,M-113A2 version,0.25,50,50
Singapore,France,1992,?,500,?,Mistral,portable SAM,500,,1994; 1995; 1996,New,Incl for Simbad SAMS on FAC and landing ships,0.09,45,45
Singapore,United States,1978,?,500,?,M-113,APC,500,?,1978; 1979; 1980,New,M-113A1 version,0.25,125,125
Singapore,France,2000,,6,,La Fayette,frigate,6,,2007; 2008; 2009,New,$750 m deal (part of $1.6 b 'Project Delta'); incl 5 produced under licence in Singapore; Singaporean designation Formidable,279.5,1677,1677
Singapore,Israel,2017,?,,,Samson RCWS-30,infantry fighting vehicle turret,150,,2019; 2020; 2021; 2022; 2023; 2024,New,Samson Mk-2 version; for Hunter IFV produced in Singapore,0.8,0,120
Singapore,Germany,2013,,2,,Type-218,submarine,2,,2023; 2024,New,Type-218SG version; Singaporean designation Invincible; incl production of components in Singapore,325,650,650
Singapore,United States,2017,,6,,TPQ-53,artillery locating radar,6,,2021; 2022,New,$63 m deal,7,42,42
Singapore,United States,2024,?,8,,F-35A Lightning-2,FGA aircraft,0,,,New,,55,440,0
